College,Type,Programs,Program URL,,
Belk College of Business,Major,"Accounting, B.S. ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11459,,
Belk College of Business,Major,"Business Administration, B.S.B.A ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11941,,
Belk College of Business,Major,"Business Analytics, B.S.B.A. ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11632,,
Belk College of Business,Major,"Economics, Business Concentration, B.S.",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11464,,
Belk College of Business,Major,"Economics, Liberal Arts Concentration, B.S. ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11465,,
Belk College of Business,Major,"Finance, Finance Concentration, B.S.B.A. ",https://catalog.charlotte.edu/preview_program.php?catoid=40&poid=11467,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,